date, value
2015-07-01,3325.959748814870
2015-08-01,3154.017606873840
2015-09-01,3278.448678006730
2015-10-01,3197.339841425310
2015-11-01,3360.840463215040
2015-12-01,3345.656219422050
2016-01-01,2952.416087279930
2016-02-01,2916.366533804880
2016-03-01,3073.519138038900
2016-04-01,3078.493533303230
2016-05-01,3098.388583712310
2016-06-01,3122.750282672010
2016-07-01,3049.977296815180
2016-08-01,3032.488202967680
2016-09-01,2881.187370130420
2016-10-01,2711.350911108780
2016-11-01,2491.996599353330
2016-12-01,2295.309671675810
2017-01-01,2195.059525375320
2017-02-01,2034.083963280630
2017-03-01,2063.093780819670
2017-04-01,1961.157309598980
2017-05-01,1983.484853875470
2017-06-01,1998.245323435750
